NAME;ADDRESS;TYPE;LOCATION;SUMMER_HOURS;WINTER_HOURS;WHEEL_ACCESS;MAINTAINER;NOTE;Geom;Geo Local Area;PRIMARYIND
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Brockton Oval;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible, Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.126023002581, 49.2996259645902]}";;71
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Lumberman's Arch;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.130707978951, 49.3029259847064]}";;76
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Prospect Point;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.142649989276, 49.3124120320746]}";;79
Strathcona Park;857 Malkin Avenue;Public Toilet in Park;South side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.086188991758, 49.2745570066112]}";Strathcona;82
Sunrise Park;1950 Windermere Street;Public Toilet in Park;North west corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.03601798246, 49.2669229919436]}";Hastings-Sunrise;83
Tatlow Park;2845 W 3rd Avenue;Public Toilet in Park;South, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.169511949678, 49.269476011815]}";Kitsilano;85
Trafalgar Park;2610 W 23rd Avenue;Public Toilet in Park;North side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.163471973425, 49.2515549664121]}";Arbutus-Ridge;86
VanDusen Botanical Garden;5251 Oak Street;Public Toilet in Park;At front entrance;Hours of operation only;Hours of operation only;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.129557645767, 49.2386594327158]}";Shaughnessy;89
Vanier Park;1000 Chestnut Street;Public Toilet in Park;Burrard Civic Marina;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Sometimes later in summer;"{""type"": ""Point"", ""coordinates"": [-123.139855943743, 49.2751960118216]}";Kitsilano;90
Victoria Park;1425 Victoria Drive;Public Toilet in Park;West side;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.067413016488, 49.2717440428088]}";Grandview-Woodland;91
Winona Park;7575 Columbia Street;Public Toilet in Park;Fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.112948945253, 49.2157179803502]}";Marpole;93
Bute at Davie;Mid Block Between Davie St and See-Em_la Lane;Automated Public Toilet;Mid Block Between Davie St and See-Em_la Lane;24 hrs;24 hrs;Yes;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.133157, 49.282003]}";West End;97
Nelson Park;West side of park;Automated Public Toilet;West side of park;24 hrs;24 hrs;Yes;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.130677, 49.283378]}";West End;100
Powell at Main;NW corner of intersection;Automated Public Toilet;NW corner of intersection;24 hrs;24 hrs;No;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.099849, 49.2832763]}";Downtown;102
Adanac Park;1025 Boundary Road;Public Toilet in Park;East side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.024071960319, 49.2758809677686]}";Hastings-Sunrise;1
Balaclava Park;4594 Balaclava Street;Public Toilet in Park;Central, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.175460949361, 49.2452339943975]}";Dunbar-Southlands;3
Beaconsfield Park;3215 Slocan Street;Public Toilet in Park;East side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.049933959326, 49.2552329902121]}";Renfrew-Collingwood;5
Braemar Park;895 W 27th Avenue;Public Toilet in Park;East edge, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.124483021671, 49.2474209947128]}";South Cambie;7
Brewers Park;4175 Victoria Drive;Public Toilet in Park;North east corner fieldhouse;Dawn to Dusk;Closed;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.065425949078, 49.2478549906707]}";Kensington-Cedar Cottage;8
Burrard View Park;650 North Penticton Street;Public Toilet in Park;Fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.049648970845, 49.2903639621952]}";Hastings-Sunrise;9
CRAB Park at Portside;101 E Waterfront Road;Public Toilet in Park;South side at fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.101835004137, 49.2845920073111]}";Downtown;10
Carnarvon Park;2995 W 19th Avenue;Public Toilet in Park;West side, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.172609010381, 49.2567420168862]}";Arbutus-Ridge;11
Clinton Park;2690 Grant Street;Public Toilet in Park;North east corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.049782027867, 49.2711450328993]}";Hastings-Sunrise;13
